CDBASE;DATE_Livraison;PICKING;QTE_Permanent;QTE_Promo;QTE_totale;CA_HT_Permanent;CA_HT_Promo;CA_HT_total;CA_TTC_Permanent;CA_TTC_Promo;CA_TTC_total
142778;27/05/2025;Picking Entrepot;3;27;30;3,2;30,4;33,6;3,4;32,1;35,5
149473;27/05/2025;Picking Entrepot;8;;8;14,6;;14,6;15,4;;15,4
149526;27/05/2025;Picking Entrepot;6;;6;12,5;;12,5;13,2;;13,2
149665;27/05/2025;Picking Entrepot;1;;1;14,7;;14,7;17,6;;17,6
149841;27/05/2025;Picking Entrepot;3;;3;9,8;;9,8;10,3;;10,3
152147;27/05/2025;Picking Entrepot;4;;4;10,6;;10,6;11,2;;11,2
152413;27/05/2025;Picking Entrepot;4;;4;6,8;;6,8;7,2;;7,2
153886;27/05/2025;Picking Entrepot;1;;1;2;;2;2,1;;2,1
155004;27/05/2025;Picking Entrepot;2;21;23;4,2;43,6;47,8;4,4;46;50,4
155168;27/05/2025;Picking Entrepot;2;;2;15,5;;15,5;16,3;;16,3
159921;27/05/2025;Picking Entrepot;3;;3;3,7;;3,7;3,9;;3,9
169520;27/05/2025;Picking Entrepot;1;5;6;2,8;14,6;17,4;3;15,3;18,3
170590;27/05/2025;Picking Entrepot;;22;22;;40,1;40,1;;48,2;48,2
170747;27/05/2025;Picking Entrepot;5;;5;13;;13;13,7;;13,7
175476;27/05/2025;Picking Entrepot;30;;30;61,9;;61,9;65,3;;65,3
177480;27/05/2025;Picking Entrepot;5;1;6;13,3;2,5;15,7;14;2,6;16,6
177840;27/05/2025;Picking Entrepot;5;;5;8,9;;8,9;9,4;;9,4
179624;27/05/2025;Picking Entrepot;11;;11;11,3;;11,3;13,6;;13,6
182770;27/05/2025;Picking Entrepot;3;;3;8,3;;8,3;8,8;;8,8
188344;27/05/2025;Picking Entrepot;1;;1;1,9;;1,9;2;;2
189092;27/05/2025;Picking Entrepot;;3;3;;8,2;8,2;;9,8;9,8
192025;27/05/2025;Picking Entrepot;5;;5;11,7;;11,7;12,3;;12,3
195614;27/05/2025;Picking Entrepot;3;33;36;3;32,9;35,9;3,1;34,6;37,8
200858;27/05/2025;Picking Entrepot;1;;1;1,9;;1,9;2;;2
207128;27/05/2025;Picking Entrepot;1;12;13;1,9;22,1;23,9;1,9;23,3;25,2
207576;27/05/2025;Picking Entrepot;2;;2;5,4;;5,4;5,7;;5,7
211092;27/05/2025;Picking Entrepot;1;;1;4,9;;4,9;5,2;;5,2
217680;27/05/2025;Picking Entrepot;1;;1;5,3;;5,3;5,6;;5,6
218382;27/05/2025;Picking Entrepot;;6;6;;16,8;16,8;;17,7;17,7
223376;27/05/2025;Picking Entrepot;2;;2;2,8;;2,8;3,3;;3,3
224405;27/05/2025;Picking Entrepot;1;;1;17,3;;17,3;20,8;;20,8
227147;27/05/2025;Picking Entrepot;;4;4;;9;9;;9,5;9,5
229137;27/05/2025;Picking Entrepot;3;;3;9,2;;9,2;9,7;;9,7
235072;27/05/2025;Picking Entrepot;3;;3;8,3;;8,3;8,7;;8,7
239547;27/05/2025;Picking Entrepot;10;;10;24,6;;24,6;25,9;;25,9
243501;27/05/2025;Picking Entrepot;3;;3;8,9;;8,9;9,4;;9,4
243752;27/05/2025;Picking Entrepot;5;;5;11,1;;11,1;11,7;;11,7
246528;27/05/2025;Picking Entrepot;1;2;3;2,1;4,2;6,2;2,2;4,4;6,6
246958;27/05/2025;Picking Entrepot;1;18;19;17,9;322,4;340,3;21,5;386,8;408,3
252092;27/05/2025;Picking Entrepot;4;10;14;10,9;26,6;37,4;11,5;28;39,5
254992;27/05/2025;Picking Entrepot;6;;6;5,6;;5,6;5,9;;5,9
256840;27/05/2025;Picking Entrepot;1;;1;1,9;;1,9;2;;2
260660;27/05/2025;Picking Entrepot;4;;4;6,6;;6,6;6,9;;6,9
266342;27/05/2025;Picking Entrepot;12;2;14;26,6;4,4;31;31,8;5,3;37,1
269890;27/05/2025;Picking Entrepot;16;;16;17,4;;17,4;18,4;;18,4
269947;27/05/2025;Picking Entrepot;1;10;11;1;11,5;12,5;1,1;12,1;13,2
270790;27/05/2025;Picking Entrepot;;1;1;;2,8;2,8;;3;3
279611;27/05/2025;Picking Entrepot;3;;3;5,5;;5,5;5,8;;5,8
281791;27/05/2025;Picking Entrepot;2;;2;3,6;;3,6;3,8;;3,8
281803;27/05/2025;Picking Entrepot;1;;1;2,4;;2,4;2,5;;2,5
281893;27/05/2025;Picking Entrepot;22;;22;60,8;;60,8;64,1;;64,1
281899;27/05/2025;Picking Entrepot;1;;1;1,5;;1,5;1,6;;1,6
281959;27/05/2025;Picking Entrepot;4;;4;4,6;;4,6;4,9;;4,9
281965;27/05/2025;Picking Entrepot;1;;1;2,1;;2,1;2,2;;2,2
293740;27/05/2025;Picking Entrepot;10;;10;9;;9;9,5;;9,5
294694;27/05/2025;Picking Entrepot;;1;1;;10,2;10,2;;10,8;10,8
295306;27/05/2025;Picking Entrepot;2;;2;2,8;;2,8;3;;3
297079;27/05/2025;Picking Entrepot;1;;1;1,3;;1,3;1,4;;1,4
307048;27/05/2025;Picking Entrepot;4;;4;11,2;;11,2;11,9;;11,9
312532;27/05/2025;Picking Entrepot;14;;14;46,3;;46,3;48,9;;48,9
313414;27/05/2025;Picking Entrepot;1;;1;3,2;;3,2;3,8;;3,8
314962;27/05/2025;Picking Entrepot;1;;1;1,9;;1,9;2;;2
320607;27/05/2025;Picking Entrepot;3;;3;6,3;;6,3;6,7;;6,7
322334;27/05/2025;Picking Entrepot;3;;3;5;;5;5,2;;5,2
329816;27/05/2025;Picking Entrepot;5;;5;16,1;;16,1;16,9;;16,9
329818;27/05/2025;Picking Entrepot;2;;2;6,5;;6,5;6,9;;6,9
344231;27/05/2025;Picking Entrepot;;2;2;;3,2;3,2;;3,4;3,4
361761;27/05/2025;Picking Entrepot;8;;8;13,4;;13,4;14,1;;14,1
361960;27/05/2025;Picking Entrepot;4;;4;5,6;;5,6;5,9;;5,9
361965;27/05/2025;Picking Entrepot;4;;4;5,5;;5,5;5,8;;5,8
361969;27/05/2025;Picking Entrepot;3;;3;4;;4;4,2;;4,2
381093;27/05/2025;Picking Entrepot;1;;1;6,6;;6,6;7;;7
391264;27/05/2025;Picking Entrepot;4;;4;21,8;;21,8;26,2;;26,2
413196;27/05/2025;Picking Entrepot;1;;1;6,7;;6,7;8,1;;8,1
418227;27/05/2025;Picking Entrepot;5;18;23;24,3;89,6;113,9;25,6;94,5;120,1
418235;27/05/2025;Picking Entrepot;;5;5;;14,9;14,9;;15,8;15,8
425641;27/05/2025;Picking Entrepot;1;;1;2,5;;2,5;2,7;;2,7
426788;27/05/2025;Picking Entrepot;;1;1;;2,5;2,5;;2,6;2,6
432410;27/05/2025;Picking Entrepot;11;;11;17,6;;17,6;21,1;;21,1
432425;27/05/2025;Picking Entrepot;5;;5;11,3;;11,3;13,5;;13,5
432685;27/05/2025;Picking Entrepot;65;;65;122,7;;122,7;129,2;;129,2
432725;27/05/2025;Picking Entrepot;29;;29;84,8;;84,8;89,5;;89,5
432736;27/05/2025;Picking Entrepot;14;;14;30;;30;31,7;;31,7
432766;27/05/2025;Picking Entrepot;6;;6;4,1;;4,1;4,3;;4,3
432800;27/05/2025;Picking Entrepot;3;;3;3,3;;3,3;3,5;;3,5
432809;27/05/2025;Picking Entrepot;1;;1;1,6;;1,6;1,7;;1,7
432828;27/05/2025;Picking Entrepot;19;;19;54,6;;54,6;57,6;;57,6
432862;27/05/2025;Picking Entrepot;19;;19;33,4;;33,4;35,2;;35,2
433018;27/05/2025;Picking Entrepot;14;;14;50,4;;50,4;53,2;;53,2
433029;27/05/2025;Picking Entrepot;22;;22;17,5;;17,5;18,4;;18,4
433046;27/05/2025;Picking Entrepot;131;;131;225,2;;225,2;237,4;;237,4
433056;27/05/2025;Picking Entrepot;15;;15;23,4;;23,4;24,7;;24,7
433059;27/05/2025;Picking Entrepot;77;;77;116,4;;116,4;122,8;;122,8
433190;27/05/2025;Picking Entrepot;;8;8;;8,3;8,3;;8,7;8,7
