CODE_FOURNISSEUR;NO_COMMANDE_FOURNISSEUR;CODE_RAYON;CLASSE_STOCKAGE;SITUATION_COMMANDE;DATE_COMMANDE;DATE_LIVRAISON;CDBASE;EAN;LIBELLÉ_ARTICLE;QUANTITE_CONFIRMEE;STOCK_MARCHAND;STOCK;RAL
794;1611982;;1060;3;26/05/2025;28/05/2025;21456;3017561600010;500ML EDC NATUREL BIEN ETRE L';12;12;2;0
794;1611982;;1060;3;26/05/2025;28/05/2025;21952;3147690071600;FLASK 20CL COGNAC 40  COURCEL;32;43;13;0
794;1611982;;1060;3;26/05/2025;28/05/2025;22999;3050070009066;75ML DENT FLUOR PLANT VADEMECU;48;115;25;48
794;1611982;;1060;3;26/05/2025;28/05/2025;4810270;3560070772520;300G BQ COQUILLET BOLOG CRF CL;22;24;16;0
794;1611982;;1060;3;26/05/2025;28/05/2025;4825430;7613034065933;351G PREP COOKIES CHOCO NESTLE;20;35;27;0
794;1611982;;1060;3;26/05/2025;28/05/2025;4835459;3103220037249;275G HARIBO DELIR PIK 275G;30;75;17;60
794;1611982;;1060;3;26/05/2025;28/05/2025;4837314;3103220034804;275G HARIBO HAPPY LIFE;30;132;50;120
794;1611982;;1060;3;26/05/2025;28/05/2025;4883717;3111902100037;375G BIO MUESLI CROUSTI AMAN V;18;43;26;18
794;1611982;;1060;3;26/05/2025;28/05/2025;4885891;5997523313111;90G SOBA CUPS CLASSIQUE NISSIN;32;40;27;0
794;1611982;;1060;3;26/05/2025;28/05/2025;4885901;5997523324278;109G SOBA SACH  CLASSIQUE NISS;9;13;27;0
794;1611982;;1060;3;26/05/2025;28/05/2025;4885903;5997523324292;111G SOBA SACHET CHILLI NISSIN;9;32;41;0
794;1611982;;1060;3;26/05/2025;28/05/2025;4895222;5000281031033;70CL SPICEGOLD 35 CAPTAIN MORG;12;59;13;36
794;1611982;;1060;3;26/05/2025;28/05/2025;4942625;3560070830596;200G CHOC NOIR DESSERT SIMPL;114;387;180;342
794;1611982;;1060;3;26/05/2025;28/05/2025;4973513;3175681121263;350G PAIN CAMPAGNARD SS GLUTEN;12;27;28;12
794;1611982;;1060;3;26/05/2025;28/05/2025;4976977;5413548015552;500G SCHOKOBONS  KINDER;10;15;6;20
794;1611982;;1060;3;26/05/2025;28/05/2025;7180262;3046920021043;200G DESSERT NR 70  INTENSE;72;98;48;0
794;1611982;;1060;3;26/05/2025;28/05/2025;7191763;3560071264727;4X100G SDM LAVANDE SIMPLY CH;30;44;18;0
794;1611982;;1060;3;26/05/2025;28/05/2025;7204044;7613287403216;375G SMARTIES MINI;20;75;53;60
794;1611982;;1060;3;26/05/2025;28/05/2025;7204218;5011308303194;450G SAUCE KORMA PATAK'S;6;15;14;6
794;1611982;;1060;3;26/05/2025;28/05/2025;7220124;3560071250492;200ML AP SHP AVO KARI CRF SOFT;72;71;2;0
794;1611982;;1060;3;26/05/2025;28/05/2025;7220556;8501110088831;70CL RON 37 5  HAVANA CLUB 3A;12;24;14;30
794;1611982;;1060;3;26/05/2025;28/05/2025;7220558;8501110089982;1L RON 37 5  HAVANA CLUB 3A;6;11;1;6
794;1611982;;1060;3;26/05/2025;28/05/2025;7236083;3421557502774;1KG BIO MUESLI CROUSTILLANT CH;8;22;15;16
794;1611982;;1060;3;26/05/2025;28/05/2025;7236824;5400101062917;40G MUSACDE MOULUE CRF;60;76;40;0
794;1611982;;1060;3;26/05/2025;28/05/2025;7239158;3560071270285;500G PETIT FLOC AVOINE CRF BIO;66;236;190;48
794;1611982;;1060;3;26/05/2025;28/05/2025;7263093;3560071267940;200ML GAR FEM PX SS CRF SOFT;12;30;21;0
794;1611982;;1060;3;26/05/2025;28/05/2025;7268157;3560071270773;200G GRAINES DE CHIA CRF BIO;20;33;38;0
794;1611982;;1060;3;26/05/2025;28/05/2025;7992593;3178041365819;SYOSS LAQUE TENUE FORTE 300ML;12;10;;0
794;1611982;;1060;3;26/05/2025;28/05/2025;7992604;3178041365758;SYOSS LAQUE TENUE ULTRA MAX HO;12;10;;0
794;1611982;;1060;3;26/05/2025;28/05/2025;7993592;8718951706149;DCH DERMATHERAP DESSEC SNX;6;10;0;6
794;1611982;;1060;3;26/05/2025;28/05/2025;7993595;8718951706118;DCH DERMATHE DEMANGE SNX;6;10;0;6
794;1611982;;1060;3;26/05/2025;28/05/2025;7993596;8718951705876;DCH DERMATHERAP IMPERF SNX;6;10;0;6
794;1611982;;1060;3;26/05/2025;28/05/2025;7994653;3600551164670;500ML SAVON EXTRA PUR SVLENAT;8;68;62;0
794;1611982;;1060;3;26/05/2025;28/05/2025;7995300;7702018334919;RAS VENUS COMFORTGL BREEZE  2;18;24;8;0
794;1611982;;1060;3;26/05/2025;28/05/2025;7998591;3560071564827;3X200G DESSERT NOIR 52  CRF;50;84;0;40
794;1611982;;1060;3;26/05/2025;28/05/2025;7998615;80785385;TIC TAC TWO MENT FRAIC DOUCE E;24;39;22;0
794;1611982;;1060;3;26/05/2025;28/05/2025;8003653;8723400944324;88G HWD BOTTLE 2FRESH MENTHE V;12;27;10;42
794;1611982;;1060;3;26/05/2025;28/05/2025;8003916;3600524142940;200ML ELS AS EXT OIL CURLS;12;30;21;0
794;1611982;;1060;3;26/05/2025;28/05/2025;8003918;3600524142711;200ML ELS AS EXT OIL CLASSIC;12;41;20;12
691;1611962;;1070;3;26/05/2025;28/05/2025;7177757;3560071412852;450G SKYR NATURE 0  CRF EXTRA;60;199;142;0
691;1611962;;1070;3;26/05/2025;28/05/2025;7180809;3560071410711;70G JAMBON DE PARME 6TR CRF EX;20;91;74;0
691;1611962;;1070;3;26/05/2025;28/05/2025;7193664;3560071420017;2X75G LARD  ALLUM NATUR CSN;80;185;109;0
691;1611962;;1070;3;26/05/2025;28/05/2025;7193665;3560071420048;2X75G LARD  ALLU  FUM CSN CRF;90;182;96;0
691;1611962;;1070;3;26/05/2025;28/05/2025;7203493;3560071421908;140G JB SUP AC 4T CSN CRF EXT;48;90;45;0
691;1611962;;1070;3;26/05/2025;28/05/2025;7203849;3560071411220;1KG YAOURT GREC NATURE CRF ORI;108;239;134;0
691;1611962;;1070;3;26/05/2025;28/05/2025;7218843;3560071417963;250G PLQ EXTRA FIN DX CRF CL;160;433;166;120
691;1611962;;1070;3;26/05/2025;28/05/2025;7311504;3459860005446;ORIGINALES COCKTAILS 2X150G;10;35;28;0
691;1611962;;1070;3;26/05/2025;28/05/2025;7394488;3560071321109;90CL PJ ORANGE CRF BIO;12;22;12;0
691;1611962;;1070;3;26/05/2025;28/05/2025;7410339;3560071449698;140G JB SUP DD CSN TSR CRF EXT;66;113;50;0
691;1611962;;1070;3;26/05/2025;28/05/2025;7450251;3560071453053;4X120G FROM FRAIS STRAC CRF CL;36;138;105;0
691;1611962;;1070;3;26/05/2025;28/05/2025;7575621;5400101078673;150G SKYR NATURE 0  CRF SEN;48;160;116;0
691;1611962;;1070;3;26/05/2025;28/05/2025;7536920;3154230809746;BPARIS JAMBON A LA BROCHE 4T 1;32;73;11;32
691;1611962;;1070;3;26/05/2025;28/05/2025;7536922;3154230809838;BPARIS JBN A L'ETOUFFEE CSNI 2;20;93;26;50
