EAN;TS_1_Mois;TS_2_Mois;TS_3_Mois;TS_Final;TS_1_Semaine;TS_Final_V2
3017760635295;100%;100%;100%;100%;100%;100%
3017760649193;100%;100%;100%;100%;100%;100%
3017760654098;100%;100%;100%;100%;100%;100%
3017760656092;100%;100%;94%;100%;;100%
3017760667890;100%;100%;100%;100%;100%;100%
3017760671897;;100%;100%;100%;;100%
3017760672191;;100%;100%;100%;;100%
3017760701693;100%;100%;100%;100%;100%;100%
3017760719490;100%;100%;100%;100%;100%;100%
3017760756198;100%;100%;100%;100%;100%;100%
3017760771894;95%;98%;95%;95%;100%;100%
3017760791892;100%;100%;73%;100%;100%;100%
3017760819121;100%;100%;98%;100%;100%;100%
3017800000816;100%;100%;100%;100%;100%;100%
3017800003558;100%;100%;100%;100%;100%;100%
3017800003572;92%;92%;92%;92%;50%;50%
3017800006481;;100%;36%;100%;;100%
3017800007778;;;94%;94%;;94%
3017800022016;100%;100%;100%;100%;;100%
3017800078662;100%;100%;100%;100%;100%;100%
3017800078846;100%;89%;96%;100%;100%;100%
3017800132463;100%;100%;100%;100%;100%;100%
3017800207901;100%;100%;100%;100%;100%;100%
3017800209530;100%;100%;100%;100%;100%;100%
3017800211588;;100%;100%;100%;;100%
3017800230718;100%;94%;96%;100%;100%;100%
3017800246719;100%;46%;56%;100%;100%;100%
3017800501627;100%;100%;100%;100%;100%;100%
3017800501658;100%;100%;100%;100%;100%;100%
3017800506196;;100%;100%;100%;;100%
3017800509937;;100%;93%;100%;;100%
3017800509968;;100%;100%;100%;;100%
3017800512005;100%;100%;100%;100%;100%;100%
3017800517635;100%;100%;50%;100%;100%;100%
3017800517666;100%;100%;100%;100%;100%;100%
3017800517703;100%;100%;100%;100%;100%;100%
3018300004540;;100%;100%;100%;;100%
3018930004903;77%;59%;68%;77%;100%;100%
3018930019242;;;100%;100%;;100%
3019080021505;100%;100%;100%;100%;100%;100%
3019080021536;100%;100%;100%;100%;100%;100%
3019080063505;100%;100%;100%;100%;100%;100%
3019081235598;100%;100%;100%;100%;100%;100%
3019081235604;100%;100%;100%;100%;100%;100%
3019081235628;;;100%;100%;;100%
3019081235635;;;100%;100%;;100%
3019081236090;100%;100%;100%;100%;100%;100%
3019081236106;100%;100%;100%;100%;100%;100%
3019081236113;100%;100%;100%;100%;;100%
3019081236120;;100%;100%;100%;;100%
3019081236137;;100%;100%;100%;;100%
3019081236175;100%;100%;100%;100%;100%;100%
3019081236762;;;100%;100%;;100%
3019081238391;100%;100%;100%;100%;100%;100%
3019081238643;100%;54%;66%;100%;100%;100%
3019081238698;100%;100%;100%;100%;100%;100%
3019081238728;100%;41%;54%;100%;100%;100%
3019081238766;100%;100%;100%;100%;100%;100%
3019081238797;100%;100%;100%;100%;100%;100%
3019081238803;100%;100%;100%;100%;100%;100%
3019081238827;100%;100%;100%;100%;100%;100%
3019081239626;100%;100%;100%;100%;100%;100%
3019081239633;100%;100%;100%;100%;100%;100%
3019081239640;100%;100%;100%;100%;;100%
3019081239657;100%;100%;100%;100%;100%;100%
3019081239763;;;100%;100%;;100%
3019081239770;;100%;100%;100%;;100%
3019081239862;100%;100%;100%;100%;100%;100%
3019081239879;100%;100%;100%;100%;100%;100%
3019081240769;100%;100%;100%;100%;;100%
3019081240806;100%;100%;100%;100%;100%;100%
3019081240905;100%;100%;100%;100%;100%;100%
3019081241155;100%;100%;100%;100%;;100%
3019082000003;100%;100%;100%;100%;;100%
3019082000010;100%;100%;100%;100%;;100%
3019082000027;100%;100%;100%;100%;;100%
3019082000201;;100%;100%;100%;;100%
3019082000485;100%;100%;100%;100%;;100%
3019082000577;100%;100%;100%;100%;;100%
3019089042228;100%;100%;100%;100%;100%;100%
3019089042235;100%;100%;100%;100%;100%;100%
3019089042556;;;100%;100%;;100%
3019089043966;;100%;100%;100%;;100%
3019089044437;100%;100%;100%;100%;;100%
3019089044468;100%;100%;100%;100%;100%;100%
3019089044475;100%;100%;100%;100%;100%;100%
3019089044840;;100%;100%;100%;;100%
3019089045601;;;78%;78%;;78%
3019089045625;;0%;0%;0%;;0%
3019089045632;22%;22%;22%;22%;0%;0%
3019089045649;30%;30%;30%;30%;50%;50%
3019089045656;20%;20%;20%;20%;0%;0%
3020884441109;100%;100%;100%;100%;100%;100%
3021210011201;100%;100%;100%;100%;;100%
3021210020906;;100%;100%;100%;;100%
3021690011005;;100%;100%;100%;;100%
3021690011050;;;100%;100%;;100%
3021690017267;100%;100%;100%;100%;100%;100%
3021690017274;;100%;100%;100%;;100%
3021690017298;100%;100%;100%;100%;100%;100%
3021690017304;;100%;100%;100%;;100%
3021690018943;100%;100%;100%;100%;;100%
3021690022933;;100%;100%;100%;;100%
3021690029086;100%;100%;100%;100%;100%;100%
3021690029093;100%;100%;100%;100%;;100%
3021690030785;;;100%;100%;;100%
3021690030792;60%;71%;78%;60%;;60%
3021690030815;100%;100%;100%;100%;;100%
3021690030839;;100%;100%;100%;;100%
3021690030846;100%;100%;100%;100%;100%;100%
3021690030914;;;100%;100%;;100%
3021690201116;100%;100%;100%;100%;100%;100%
3021690201123;100%;100%;100%;100%;100%;100%
3021760290422;;100%;100%;100%;;100%
3021760290439;;100%;100%;100%;;100%
3021760290606;;100%;100%;100%;;100%
3021760290613;;;100%;100%;;100%
3021760291115;;100%;100%;100%;;100%
3021760291375;;;100%;100%;;100%
3021760291412;100%;100%;100%;100%;100%;100%
3021760291429;100%;100%;100%;100%;100%;100%
3021760291474;;100%;100%;100%;;100%
3021760291481;;100%;100%;100%;;100%
3021760291511;100%;100%;100%;100%;100%;100%
3021760291528;100%;100%;100%;100%;100%;100%
3021760291610;100%;100%;100%;100%;100%;100%
3021760291863;;;100%;100%;;100%
3021760291870;;;100%;100%;;100%
3021760980101;100%;92%;71%;100%;;100%
3021760980118;100%;100%;100%;100%;;100%
3021760980125;100%;100%;97%;100%;;100%
3021760980187;;100%;100%;100%;;100%
3021760980200;100%;100%;100%;100%;;100%
