EAN;TS_1_Mois;TS_2_Mois;TS_3_Mois;TS_Final;TS_1_Semaine;TS_Final_V2
3017760038584;100%;100%;100%;100%;100%;100%
3017760038676;100%;100%;100%;100%;100%;100%
3017760221580;100%;100%;100%;100%;100%;100%
3017760221597;100%;100%;100%;100%;;100%
3017760306492;100%;100%;100%;100%;100%;100%
3017760314497;91%;96%;97%;91%;;91%
3017760329798;100%;100%;45%;100%;100%;100%
3017760361194;98%;60%;39%;98%;100%;100%
3017760363990;100%;100%;100%;100%;100%;100%
3017760381598;100%;100%;100%;100%;100%;100%
3017760419390;100%;100%;100%;100%;;100%
3017760459594;100%;100%;100%;100%;100%;100%
3017760465496;;;100%;100%;;100%
3017760494298;88%;95%;97%;88%;100%;100%
3017760497398;100%;99%;99%;100%;;100%
3017760502399;100%;100%;48%;100%;;100%
3017760542890;100%;99%;100%;100%;100%;100%
3017760589895;100%;100%;100%;100%;;100%
3017760595193;100%;100%;100%;100%;;100%
3017760603997;100%;100%;100%;100%;;100%
3017760635295;100%;100%;100%;100%;100%;100%
3017760649193;100%;100%;100%;100%;;100%
3017760654098;100%;100%;100%;100%;100%;100%
3017760656092;100%;100%;80%;100%;;100%
3017760667890;100%;100%;100%;100%;100%;100%
3017760671897;100%;100%;100%;100%;;100%
3017760672191;100%;100%;100%;100%;;100%
3017760701693;;100%;100%;100%;;100%
3017760719490;100%;100%;100%;100%;100%;100%
3017760756198;100%;100%;100%;100%;;100%
3017760771894;100%;95%;97%;100%;100%;100%
3017760791892;100%;100%;71%;100%;;100%
3017760819121;100%;100%;98%;100%;100%;100%
3017800003558;100%;100%;100%;100%;100%;100%
3017800006481;100%;34%;48%;100%;;100%
3017800007778;;94%;94%;94%;;94%
3017800078662;100%;100%;100%;100%;;100%
3017800078846;100%;95%;97%;100%;;100%
3017800132463;100%;100%;100%;100%;100%;100%
3017800207901;100%;100%;100%;100%;100%;100%
3017800209530;100%;100%;100%;100%;100%;100%
3017800211588;100%;100%;100%;100%;;100%
3017800211649;;;100%;100%;;100%
3017800230718;91%;94%;96%;91%;100%;100%
3017800246719;31%;41%;50%;31%;;31%
3017800501627;100%;100%;100%;100%;;100%
3017800501658;100%;100%;100%;100%;;100%
3017800506196;;100%;100%;100%;;100%
3017800509937;100%;100%;94%;100%;;100%
3017800509968;100%;100%;100%;100%;;100%
3017800512005;100%;100%;100%;100%;;100%
3017800517635;100%;40%;40%;100%;;100%
3017800517666;100%;100%;100%;100%;;100%
3017800517703;100%;100%;100%;100%;;100%
3018300004540;100%;100%;100%;100%;;100%
3018930004903;41%;58%;68%;41%;53%;53%
3018930019242;;100%;100%;100%;;100%
3019080021505;100%;100%;100%;100%;100%;100%
3019080021536;100%;100%;100%;100%;;100%
3019080063505;100%;100%;100%;100%;100%;100%
3019081235598;100%;100%;100%;100%;100%;100%
3019081235604;100%;100%;100%;100%;100%;100%
3019081235628;;100%;100%;100%;;100%
3019081235635;;;100%;100%;;100%
3019081236090;100%;100%;100%;100%;100%;100%
3019081236106;100%;100%;100%;100%;;100%
3019081236113;100%;100%;100%;100%;100%;100%
3019081236120;100%;100%;100%;100%;;100%
3019081236137;100%;100%;100%;100%;;100%
3019081236175;100%;100%;100%;100%;;100%
3019081236762;;;100%;100%;;100%
3019081238391;100%;100%;100%;100%;100%;100%
3019081238643;25%;49%;45%;25%;;25%
3019081238698;100%;100%;69%;100%;;100%
3019081238728;21%;46%;43%;21%;100%;100%
3019081239626;100%;100%;100%;100%;100%;100%
3019081239633;100%;100%;100%;100%;;100%
3019081239640;100%;100%;100%;100%;;100%
3019081239657;100%;100%;100%;100%;;100%
3019081239763;;100%;100%;100%;;100%
3019081239770;100%;100%;100%;100%;;100%
3019081239862;100%;100%;100%;100%;100%;100%
3019081239879;100%;100%;100%;100%;100%;100%
3019081240769;100%;100%;100%;100%;;100%
3019081240806;100%;100%;100%;100%;100%;100%
3019081240905;100%;100%;100%;100%;;100%
3019081241155;100%;100%;100%;100%;100%;100%
3019082000003;100%;100%;100%;100%;100%;100%
3019082000010;100%;100%;100%;100%;100%;100%
3019082000027;100%;100%;100%;100%;100%;100%
3019082000201;100%;100%;100%;100%;;100%
3019082000485;;100%;100%;100%;;100%
3019082000577;100%;100%;100%;100%;;100%
3019089042228;100%;100%;100%;100%;;100%
3019089042235;100%;100%;100%;100%;;100%
3019089042556;;;100%;100%;;100%
3019089043966;100%;100%;100%;100%;;100%
3019089044437;100%;100%;100%;100%;100%;100%
3019089044468;;100%;100%;100%;;100%
3019089044475;100%;100%;100%;100%;;100%
3019089044840;;100%;100%;100%;;100%
3019089045601;;78%;87%;78%;;78%
3019089045625;;0%;0%;0%;;0%
3020884441109;100%;100%;100%;100%;;100%
3021210020906;100%;100%;100%;100%;;100%
3021690011005;;100%;100%;100%;;100%
3021690011050;;100%;100%;100%;;100%
3021690017267;100%;100%;100%;100%;100%;100%
3021690017274;;100%;100%;100%;;100%
3021690017298;100%;100%;100%;100%;;100%
3021690017304;100%;100%;100%;100%;;100%
3021690018943;100%;100%;100%;100%;;100%
3021690022933;;100%;100%;100%;;100%
3021690029086;100%;100%;100%;100%;100%;100%
3021690029093;100%;100%;100%;100%;100%;100%
3021690030785;;100%;100%;100%;;100%
3021690030792;100%;100%;100%;100%;100%;100%
3021690030839;100%;100%;100%;100%;;100%
3021690030846;100%;100%;100%;100%;100%;100%
3021690030914;;100%;100%;100%;;100%
3021690201116;100%;100%;100%;100%;100%;100%
3021690201123;100%;100%;100%;100%;100%;100%
3021760290422;;100%;100%;100%;;100%
3021760290439;;100%;100%;100%;;100%
3021760290606;100%;100%;100%;100%;;100%
3021760290613;;100%;100%;100%;;100%
3021760291115;;100%;100%;100%;;100%
3021760291375;;100%;100%;100%;;100%
3021760291412;100%;100%;100%;100%;;100%
3021760291429;100%;100%;100%;100%;;100%
3021760291474;;100%;100%;100%;;100%
3021760291481;;100%;100%;100%;;100%
3021760291511;100%;100%;100%;100%;;100%
3021760291528;100%;100%;100%;100%;;100%
3021760291610;100%;100%;100%;100%;;100%
3021760291863;;100%;100%;100%;;100%
3021760291870;;100%;100%;100%;;100%
3021760980101;89%;72%;77%;89%;100%;100%
3021760980118;100%;100%;100%;100%;100%;100%
3021760980125;100%;96%;98%;100%;100%;100%
3021760980187;100%;100%;100%;100%;;100%
3021760980200;100%;100%;100%;100%;100%;100%
3021760980217;100%;100%;100%;100%;;100%
3021760980224;100%;100%;100%;100%;;100%
3021760980248;100%;100%;100%;100%;;100%
3021761202974;100%;100%;67%;100%;;100%
3021761204114;100%;99%;44%;100%;;100%
3021761206804;100%;100%;100%;100%;;100%
3021761206811;100%;100%;100%;100%;;100%
3021761207900;100%;100%;100%;100%;100%;100%
3021761208136;;99%;99%;99%;;99%
3021761208150;;100%;100%;100%;;100%
3021761208266;;100%;100%;100%;;100%
3021761208273;;100%;100%;100%;;100%
3021762412129;;84%;93%;84%;;84%
3021762412198;76%;87%;88%;76%;100%;100%
3021762412242;78%;88%;91%;78%;100%;100%
3021762412280;99%;100%;100%;99%;100%;100%
3021762412433;100%;100%;94%;100%;100%;100%
3021762412457;89%;93%;96%;89%;;89%
3021762412464;75%;86%;88%;75%;100%;100%
3021762412471;94%;97%;98%;94%;;94%
3021762420087;60%;78%;85%;60%;100%;100%
3021762420094;100%;84%;89%;100%;100%;100%
3021762420124;99%;99%;99%;99%;100%;100%
3021762420148;100%;100%;100%;100%;;100%
3021762432219;94%;98%;98%;94%;100%;100%
3021762432226;100%;100%;100%;100%;100%;100%
3021762432301;31%;31%;31%;31%;0%;0%
3021762436149;100%;100%;100%;100%;;100%
3021762436231;100%;100%;100%;100%;;100%
3021762464166;100%;100%;100%;100%;;100%
3021762464180;100%;100%;100%;100%;;100%
3021762496334;;;100%;100%;;100%
3021762496341;100%;100%;100%;100%;;100%
3021762496358;100%;100%;100%;100%;;100%
3021762512171;100%;79%;78%;100%;100%;100%
3021762512263;100%;100%;100%;100%;;100%
3021762512522;90%;90%;90%;90%;;90%
3021762516056;;;100%;100%;;100%
3021762516247;100%;100%;100%;100%;;100%
3021762516308;100%;100%;100%;100%;;100%
3021762516315;100%;100%;100%;100%;;100%
3021762516339;100%;100%;100%;100%;;100%
3021891004011;100%;100%;100%;100%;;100%
3023260001263;100%;100%;100%;100%;100%;100%
3023260005872;100%;90%;92%;100%;100%;100%
3023260020233;100%;100%;100%;100%;100%;100%
3023260020349;100%;100%;100%;100%;;100%
3023260025825;100%;100%;100%;100%;100%;100%
3023260027751;100%;100%;100%;100%;;100%
3023260029656;100%;100%;100%;100%;;100%
3023260029694;100%;100%;100%;100%;100%;100%
3023260029731;100%;100%;100%;100%;100%;100%
3023260030737;100%;100%;100%;100%;;100%
3023260030928;100%;100%;100%;100%;100%;100%
3023260030980;100%;100%;100%;100%;100%;100%
3023260031017;100%;100%;100%;100%;100%;100%
3023260033547;80%;80%;80%;80%;100%;100%
3023260034247;100%;100%;100%;100%;;100%
3023290001950;100%;100%;98%;100%;100%;100%
3023290001998;73%;75%;75%;73%;;73%
3023290002018;;100%;100%;100%;;100%
3023290002056;56%;60%;60%;56%;;56%
3023290003046;100%;100%;75%;100%;100%;100%
3023290005576;100%;88%;91%;100%;;100%
3023290007150;100%;100%;99%;100%;100%;100%
3023290007310;100%;100%;98%;100%;100%;100%
3023290008331;;100%;100%;100%;;100%
3023290008362;;100%;100%;100%;;100%
3023290008454;91%;87%;87%;91%;;91%
3023290009055;68%;81%;84%;68%;88%;88%
3023290009086;84%;92%;91%;84%;100%;100%
3023290009178;100%;100%;81%;100%;100%;100%
3023290009994;50%;56%;56%;50%;;50%
3023290010464;;100%;100%;100%;;100%
3023290010532;;84%;92%;84%;;84%
3023290010570;;75%;84%;75%;;75%
3023290011546;70%;70%;70%;70%;20%;20%
3023290013403;100%;100%;100%;100%;100%;100%
3023290014080;100%;100%;99%;100%;100%;100%
3023290021064;100%;100%;100%;100%;100%;100%
3023290021095;100%;100%;100%;100%;100%;100%
3023290021286;100%;100%;96%;100%;100%;100%
3023290021507;96%;96%;97%;96%;100%;100%
3023290021569;100%;100%;100%;100%;100%;100%
3023290021620;100%;100%;100%;100%;100%;100%
3023290021651;100%;100%;100%;100%;100%;100%
3023290021712;87%;90%;91%;87%;59%;59%
3023290022566;53%;59%;59%;53%;;53%
3023290027332;100%;100%;100%;100%;100%;100%
3023290030547;91%;96%;97%;91%;100%;100%
3023290030585;96%;98%;98%;96%;88%;88%
3023290030608;87%;93%;95%;87%;77%;77%
3023290035627;100%;100%;100%;100%;100%;100%
3023290035801;100%;100%;100%;100%;100%;100%
3023290035924;100%;100%;100%;100%;100%;100%
3023290036655;100%;100%;100%;100%;100%;100%
3023290036686;100%;100%;98%;100%;100%;100%
3023290038123;100%;100%;100%;100%;100%;100%
3023290038147;93%;97%;97%;93%;91%;91%
3023290040522;79%;86%;88%;79%;77%;77%
3023290047354;100%;100%;98%;100%;100%;100%
3023290047385;100%;100%;100%;100%;100%;100%
3023290048245;100%;94%;93%;100%;;100%
3023290048269;;100%;100%;100%;;100%
3023290050255;100%;100%;98%;100%;100%;100%
3023290050347;100%;99%;99%;100%;100%;100%
3023290050378;100%;100%;100%;100%;100%;100%
3023290050408;100%;100%;100%;100%;100%;100%
3023290052037;;17%;17%;17%;;17%
3023290052068;100%;100%;100%;100%;;100%
3023290052150;100%;100%;100%;100%;;100%
3023290052181;57%;81%;81%;57%;;57%
3023290052310;100%;92%;94%;100%;100%;100%
3023290056042;;100%;100%;100%;;100%
3023290062609;67%;70%;70%;67%;;67%
3023290062647;44%;50%;50%;44%;;44%
3023290063873;70%;84%;89%;70%;35%;35%
3023290068205;86%;92%;76%;86%;;86%
3023290068861;;100%;100%;100%;;100%
3023290069042;67%;89%;89%;67%;;67%
3023290069226;100%;100%;100%;100%;;100%
3023290069448;81%;90%;90%;81%;77%;77%
3023290069462;100%;100%;99%;100%;100%;100%
3023290069509;100%;100%;100%;100%;100%;100%
3023290070628;100%;100%;100%;100%;;100%
3023290077658;70%;82%;82%;70%;53%;53%
3023290077719;;;100%;100%;;100%
3023290077740;100%;100%;100%;100%;;100%
3023290077832;100%;100%;100%;100%;100%;100%
3023290078136;;50%;50%;50%;;50%
3023290078518;81%;88%;88%;81%;77%;77%
3023290079003;100%;100%;97%;100%;100%;100%
3023290079034;100%;100%;100%;100%;;100%
3023290080504;;100%;100%;100%;;100%
3023290080641;100%;100%;100%;100%;100%;100%
3023290091142;;;0%;0%;;0%
3023290091173;;100%;100%;100%;;100%
3023290091203;;100%;100%;100%;;100%
3023290091616;;;50%;50%;;50%
3023290092088;100%;100%;100%;100%;;100%
3023290092095;;100%;90%;100%;;100%
3023290092101;90%;97%;73%;90%;100%;100%
3023290092125;100%;87%;76%;100%;;100%
3023290101964;100%;100%;100%;100%;100%;100%
3023290101995;100%;100%;95%;100%;100%;100%
3023290103494;95%;95%;95%;95%;50%;50%
3023290112243;100%;100%;100%;100%;100%;100%
3023290112267;100%;100%;97%;100%;100%;100%
3023290115251;100%;100%;99%;100%;100%;100%
3023290115282;100%;100%;100%;100%;100%;100%
3023290165348;100%;100%;100%;100%;100%;100%
3023290165355;100%;100%;100%;100%;100%;100%
3023290165362;100%;100%;100%;100%;100%;100%
3023290165379;100%;100%;100%;100%;100%;100%
3023290165386;100%;100%;100%;100%;100%;100%
3023290165393;100%;100%;100%;100%;100%;100%
3023290165409;100%;100%;100%;100%;100%;100%
3023290169803;100%;96%;95%;100%;100%;100%
3023290169940;;100%;100%;100%;;100%
3023290170076;100%;100%;100%;100%;100%;100%
3023290170403;100%;100%;95%;100%;100%;100%
3023290170427;100%;100%;100%;100%;;100%
3023290170434;100%;100%;96%;100%;100%;100%
3023290170441;100%;100%;100%;100%;100%;100%
3023290170458;100%;100%;89%;100%;;100%
3023290170465;92%;96%;94%;92%;33%;33%
3023290170472;100%;100%;100%;100%;100%;100%
3023290207048;;;50%;50%;;50%
3023290207055;;;0%;0%;;0%
3023290207062;;;0%;0%;;0%
3023290208137;100%;100%;100%;100%;100%;100%
3023290223055;100%;100%;100%;100%;100%;100%
3023290230190;;;50%;50%;;50%
3023290233702;100%;100%;97%;100%;100%;100%
3023290234686;100%;100%;100%;100%;;100%
3023290234709;88%;89%;89%;88%;;88%
3023290234839;100%;100%;100%;100%;;100%
3023290400326;99%;99%;100%;99%;94%;94%
3023290400333;100%;100%;96%;100%;100%;100%
3023290419694;;100%;100%;100%;;100%
3023290419700;;100%;100%;100%;;100%
3023290456538;;100%;100%;100%;;100%
3023290600023;100%;100%;97%;100%;100%;100%
3023290620144;100%;100%;99%;100%;100%;100%
3023290623572;100%;100%;100%;100%;;100%
3023290623992;100%;100%;98%;100%;100%;100%
3023290624265;100%;100%;100%;100%;100%;100%
3023290639221;91%;82%;85%;91%;100%;100%
3023290643488;100%;100%;97%;100%;100%;100%
3023290719312;;100%;100%;100%;;100%
3023290719329;100%;100%;97%;100%;;100%
3023290797365;96%;98%;96%;96%;100%;100%
3023290799482;;100%;100%;100%;;100%
3023291122005;100%;100%;100%;100%;100%;100%
3023292259144;80%;85%;86%;80%;100%;100%
3023292266005;100%;100%;98%;100%;100%;100%
3023470001084;100%;74%;81%;100%;100%;100%
3023470010031;100%;72%;81%;100%;100%;100%
3023470020030;100%;58%;66%;100%;;100%
3023470200050;100%;100%;100%;100%;100%;100%
3024720020121;100%;100%;100%;100%;;100%
3024720020176;100%;100%;100%;100%;;100%
3024720020329;100%;78%;89%;100%;;100%
3024720022002;88%;92%;92%;88%;0%;0%
3024720022019;100%;100%;100%;100%;100%;100%
3024720022422;100%;100%;100%;100%;100%;100%
3024720022439;100%;100%;100%;100%;100%;100%
3024720022484;100%;100%;100%;100%;;100%
3024720026208;100%;100%;100%;100%;;100%
3024720026543;77%;87%;87%;77%;;77%
3024720026895;100%;100%;100%;100%;100%;100%
3024720027724;100%;50%;50%;100%;;100%
3024720027748;100%;100%;100%;100%;;100%
3027030006939;;100%;100%;100%;;100%
3027030011810;67%;79%;86%;67%;33%;33%
3027030012541;100%;100%;100%;100%;100%;100%
3027030012992;;100%;100%;100%;;100%
3027030013289;100%;100%;100%;100%;;100%
3027030014262;;;100%;100%;;100%
3027030015160;100%;100%;100%;100%;100%;100%
3027030015191;58%;54%;59%;58%;100%;100%
3027030016396;100%;100%;100%;100%;100%;100%
3027030016464;67%;89%;94%;67%;0%;0%
3027030020010;;100%;100%;100%;;100%
3027030028504;;100%;100%;100%;;100%
3027030032853;;100%;100%;100%;;100%
3029330001652;;100%;100%;100%;;100%
3029330002765;;100%;100%;100%;;100%
3029330003526;;100%;100%;100%;;100%
3029330003533;;100%;100%;100%;;100%
3029330003847;100%;100%;100%;100%;100%;100%
3029330004240;82%;82%;82%;82%;100%;100%
3029330011040;;100%;100%;100%;;100%
3029330022411;100%;100%;100%;100%;100%;100%
3029330022428;100%;100%;100%;100%;100%;100%
3029330068518;100%;100%;100%;100%;100%;100%
3029330069898;100%;100%;100%;100%;100%;100%
3029330069911;100%;100%;100%;100%;100%;100%
3029330070023;100%;100%;100%;100%;100%;100%
3029330070047;100%;100%;98%;100%;100%;100%
3029330800064;94%;97%;98%;94%;57%;57%
3029330801016;;94%;94%;94%;;94%
3029330801900;;100%;100%;100%;;100%
3031440000241;100%;100%;100%;100%;;100%
3031440000432;100%;100%;100%;100%;;100%
3031440040162;100%;100%;100%;100%;;100%
3031440070206;100%;72%;72%;100%;;100%
3031440070299;100%;100%;100%;100%;;100%
3031440071104;100%;100%;100%;100%;;100%
3031440403554;100%;100%;100%;100%;100%;100%
3031440403653;;;100%;100%;;100%
3031440403813;100%;100%;100%;100%;;100%
3032220061100;97%;93%;97%;97%;0%;0%
3032220061193;94%;93%;97%;94%;0%;0%
3033124718602;100%;100%;100%;100%;100%;100%
3033210003339;100%;100%;100%;100%;;100%
3033210003858;100%;100%;100%;100%;100%;100%
3033210813815;53%;69%;69%;53%;0%;0%
3033490004514;100%;100%;100%;100%;100%;100%
3033490004521;100%;100%;100%;100%;100%;100%
3033490004545;100%;100%;100%;100%;100%;100%
3033490004576;100%;100%;100%;100%;100%;100%
