CODE_FOURNISSEUR;NO_COMMANDE_FOURNISSEUR;CODE_RAYON;CLASSE_STOCKAGE;SITUATION_COMMANDE;DATE_COMMANDE;DATE_LIVRAISON;CDBASE;EAN;LIBELLÉ_ARTICLE;QUANTITE_CONFIRMEE;QUANTITE_COMMANDEE;Commande_Origine;Code_Famille;Libelle_Famille;Libelle_Rayon;Mod_pas_cde;Passage_Prolog;IFLS;DATE_RECEPTION;NUM_COMMANDE_EXTERNE;DATE_CREATION
509;1605301;1;1060;39;14/05/2025;15/05/2025;7315669;3560071253462;90G CROUTONS  NATURE CRF CLASS;0;0;1605301;85;POTAGES ET BOUILLONS;EPICERIE;P;1;Q28959;15/05/2025;;15/05/2025 17:24:22
509;1605114;1;1060;41;10/05/2025;12/05/2025;7315669;3560071253462;90G CROUTONS  NATURE CRF CLASS;0;80;1604147;85;POTAGES ET BOUILLONS;EPICERIE;P;0;Q28959;13/05/2025;;15/05/2025 17:24:22
509;1606021;1;1060;39;15/05/2025;16/05/2025;7315668;3560071253493;90G CROUTONS  AIL CRF CLASSIC;40;40;1606021;85;POTAGES ET BOUILLONS;EPICERIE;P;1;Q28958;16/05/2025;VP021074;15/05/2025 17:24:22
509;1606445;1;1060;41;14/05/2025;15/05/2025;7315668;3560071253493;90G CROUTONS  AIL CRF CLASSIC;40;40;1605301;85;POTAGES ET BOUILLONS;EPICERIE;P;0;Q28958;15/05/2025;;15/05/2025 17:24:22
509;1605301;1;1060;39;14/05/2025;15/05/2025;7315668;3560071253493;90G CROUTONS  AIL CRF CLASSIC;0;0;1605301;85;POTAGES ET BOUILLONS;EPICERIE;P;1;Q28958;15/05/2025;;15/05/2025 17:24:22
509;1606021;1;1060;39;15/05/2025;16/05/2025;7278709;3560071270315;330G CONF EMOT FRAISE CRF SENS;36;36;1606021;120;CONFITURES;EPICERIE;P;1;Q00290;16/05/2025;VP021074;15/05/2025 17:24:22
509;1605301;1;1060;39;14/05/2025;15/05/2025;7278709;3560071270315;330G CONF EMOT FRAISE CRF SENS;0;0;1605301;120;CONFITURES;EPICERIE;P;1;Q00290;15/05/2025;;15/05/2025 17:24:22
509;1606508;1;1060;39;15/05/2025;16/05/2025;7236841;3560071407568;500G MUELSI 35  FRUITS CRF BIO;18;18;0;30;CEREALES ET EN-CAS;EPICERIE;P;0;P60771;16/05/2025;SF140525;15/05/2025 17:24:22
509;1600228;1;1060;39;03/05/2025;20/05/2025;7311853;3560071403966;1 5KG CROQ CHAT JR CRF COMP EX;4;4;0;161;PRODUITS CHATS;EPICERIE;P;0;U22634;20/05/2025;VP021074;15/05/2025 17:24:22
509;1600230;1;1060;39;03/05/2025;16/05/2025;7311853;3560071403966;1 5KG CROQ CHAT JR CRF COMP EX;28;0;0;161;PRODUITS CHATS;EPICERIE;P;0;U22634;16/05/2025;VP021074;15/05/2025 17:24:22
509;1605671;1;1060;41;28/04/2025;14/05/2025;7285370;3608580065340;360G PATE NOISETTE CACAO B M;0;30;1604645;120;CONFITURES;EPICERIE;P;0;P99152;14/05/2025;;15/05/2025 17:24:22
522;1606494;2;1060;41;14/05/2025;16/05/2025;7311668;3560071258917;1L BOC PJ POMME TROUBLE RDF;12;12;1605307;245;SODAS,BOISS.FRUITS&JUS FRUITS;LIQUIDES;P;0;Q24928;16/05/2025;;15/05/2025 17:24:22
522;1604451;2;1060;41;03/05/2025;13/05/2025;7311668;3560071258917;1L BOC PJ POMME TROUBLE RDF;0;12;1603382;245;SODAS,BOISS.FRUITS&JUS FRUITS;LIQUIDES;P;0;Q24928;13/05/2025;;15/05/2025 17:24:22
