CDBASE;FOURNISSEUR;DATE_LIVRAISON;STOCK;RAL;MINIMUM_COMMANDE;PCB;QTÉPRÉVISION1;QTÉPRÉVISION2;CLASSE_STOCKAGE;COCHE_RAO;STOCK_MARCHAND;QTÉPRÉVISIONINIT1;QTÉPRÉVISIONINIT2;QTÉPROPOSÉE1;QTÉPROPOSÉE2;NUMERO_COMMANDE;DATE_L2;DATE_COMMANDE;QTÉPROPOSÉEFINALE;STOCK_REEL;CDBASE2;NUMERO_COMMANDE2;IFLS
7975399;557;06/06/2025;127;;66;6;0,1;0,04;1080;54;9999;0,1;0,04;9872,14;9999,04;1616152;07/06/2025;04/06/2025;9872;127;7975399;1616152;350630              
7975540;794;06/06/2025;0;;6;6;0;0;1060;46;0;0;0;0;0;1616187;07/06/2025;04/06/2025;0;0;7975540;1616187;V89327              
7975934;509;05/06/2025;0;;18;18;0;0;1060;46;0;0;0;0;0;1616143;06/06/2025;04/06/2025;0;;7975934;1616143;
7975936;509;05/06/2025;71;;18;18;0;0;1060;46;85;0;0;14;85;1616143;06/06/2025;04/06/2025;14;71;7975936;1616143;V89708              
7975955;794;06/06/2025;6;6;6;6;0;0;1060;46;9999;0;0;9987;9999;1616187;07/06/2025;04/06/2025;9987;6;7975955;1616187;V89718              
7975956;794;06/06/2025;0;12;6;6;0;0;1060;46;9999;0;0;9987;9999;1616187;07/06/2025;04/06/2025;9987;0;7975956;1616187;V89719              
7975999;509;05/06/2025;339;;7;7;2,88;1,88;1064;54;9999;2,88;1,88;9662,45;10000,88;1616140;06/06/2025;04/06/2025;9662;340;7975999;1616140;V89736              
7976059;557;06/06/2025;28;;27;9;0,04;0,01;1080;54;9999;0,04;0,01;9971,05;9999,01;1616152;07/06/2025;04/06/2025;9971;28;7976059;1616152;352989              
7976141;509;05/06/2025;14;;3;3;0,03;0,01;1060;46;20;0,03;0,01;6,08;20,01;1616143;06/06/2025;04/06/2025;6;14;7976141;1616143;V89831              
7976266;557;06/06/2025;119;;24;6;0,01;0;1080;54;9999;0,01;0,01;9880,01;9999;1616152;07/06/2025;04/06/2025;9880;119;7976266;1616152;353874              
7976810;509;05/06/2025;42;;6;6;0;0;1060;46;9999;0;0;9957;9999;1616143;06/06/2025;04/06/2025;9957;42;7976810;1616143;V91957              
7976934;509;05/06/2025;9;18;6;6;0,02;0;1060;54;9999;0,03;0,01;9972,07;9999;1616143;06/06/2025;04/06/2025;9972;9;7976934;1616143;V90731              
7976944;509;05/06/2025;16;6;6;6;0,01;0;1060;46;9999;0,01;0;9977,01;9999;1616143;06/06/2025;04/06/2025;9977;16;7976944;1616143;V90740              
7977062;509;05/06/2025;8;20;10;10;8,67;4;1060;54;9999;8,67;4;9980,11;10003;1616143;06/06/2025;04/06/2025;9980;11;7977062;1616143;V90784              
