EAN Final;Libellé;Code Méti;VMJ;Classement;Ligne;Contrôle
7,32254E+12;LOT BATONNETS BIO SACHET X160;6699108;78,38654646;280;6376;1
3,27019E+12;4X125G CREM DESS VANIL CRF CLA;843366;78,35377753;281;631;1
3,52323E+12;200G BUCHE DE CHEVRE SOIGNON;5128864;78,29217763;282;3930;1
8,0768E+12;PQ 500G FUSILLI BARILLA;195614;78,2428809;283;328;1
5,449E+12;BTE 20X33CL COCA COLA;7202325;78,14304933;284;7525;1
9,00252E+12;PET 75CL PAGO ACE;6541267;77,88824289;285;6048;1
3,56007E+12;700G PUREE DE TOMATE CRF;7123392;77,81625388;286;7341;1
3,03836E+12;220G SCE TUBE TOMATES CUISINEE;6662228;77,81518588;287;6273;1
3,56007E+12;3X 200G PUREE TOMATES CRF CLAS;4958841;77,54982393;288;3779;1
3,56007E+12;X100 DISQUES A DEMAQUILLER;6379790;77,49784006;289;5737;1
3,56007E+12;900G BROCOLI FLEURETTE CRF CLA;7303763;77,28741104;290;7885;1
3,56007E+12;PET 1L PJ MULTIFRUITS CRF EXTR;3562126;77,23813474;291;2124;1
3,56007E+12;750G DOY CRUNCHY CHOC/NR CRF S;6084366;77,06798703;292;5281;1
3,56007E+12;12X90G CRG POM ALL SUC CRF CLA;5356005;76,8237948;293;4189;1
3,15423E+12;HERTA DES DE LARDONS FUMES 200;7315448;76,81187835;294;7957;1
3,25132E+12;12 OEUFS PPA CQLP;6506682;76,64293205;295;6005;1
3,27019E+12;75G PETALES SALEES CRF CLASSIC;1040032;76,58455757;296;783;1
3,42827E+12;1L DEMI ECREME LACTEL BIO;566562;76,25127419;297;492;1
3,56007E+12;250G BLEU CREMEUX CRF CLASSIC;3830478;75,85716254;298;2435;1
3,12393E+12;200G COMTE AOP ENTREMONT;2684666;75,793996;299;1521;1
3,27019E+12;250G BEURRE MOUL 1/2S BRETCRF;843394;75,71133277;300;643;1
3,56007E+12;500G PIPE RIGATE QS CRF CLASSI;4321678;75,47203432;301;2883;1
3,30274E+12;140G 4TR JB SUP ETOUFF CSN;7192228;75,44097706;302;7480;1
3,26698E+12;720G FILET POULET JAUNE LG;1027959;75,38782242;303;768;1
3,56007E+12;150G BATONNET CHOCOLAT LT CRF;5962371;74,92329073;304;5103;1
8,07681E+12;400G SCE BASILIC BARILLA;675675;74,91790744;305;542;1
3,56007E+12;BTE 110 MOUCHOIR CONFOR CRF SF;2739033;74,74583508;306;1577;1
3,56007E+12;125G FEUILLE CHENE CARREFOUR;3835070;74,60543458;307;2445;1
3,59974E+12;500G EPINARDS HACHES CREME;7638855;74,5494205;308;9089;1
3,24093E+12;X6 GAP EXT FRO MAXI 500G LUST;5713878;74,54238729;309;4720;1
3,56007E+12;466G 28 BAT SURIMI MSC CRF CLA;6309063;74,14295327;310;5684;1
3,56007E+12;150GR FILET DE BACON CRF EXT;5621024;74,09594447;311;4577;1
3,30274E+12;6T F BLC PLT DORE FOUR NUTRIB;7432671;73,87729522;312;8244;1
3,56007E+12;240G BLC PLT FOUR 6T CRF EXTRA;4442746;73,80406684;313;3035;1
3,56007E+12;500G FRAMBOISES CRF CLA;7394461;73,51610738;314;8072;1
3,24541E+12;280G TOMATES SECHEES CRF EXTRA;3610868;73,51440148;315;2156;1
3,30274E+12;4 TR JAMBON SUP  SEL CSN;7222724;73,19650738;316;7650;1
3,56007E+12;1L HUILE OLIVE  CRF BIO;5222177;72,86730067;317;4068;1
3,24541E+12;2X250G BEURRE DOUX CRF CLASSIC;2281430;72,59930045;318;1301;1
3,56007E+12;415G FL  MAYONNAISE CRF;5509052;72,46172198;319;4369;1
3,56007E+12;500G SPAGHETTI QS CRF CLASSIC;3747254;72,24130618;320;2352;1
3,24541E+12;300G LAITUE ICEBERG CRF;2926029;72,21486822;321;1668;1
3,01136E+12;175G TUB MAYO TOURNES LESIEUR;489992;72,11530098;322;446;1
3,56007E+12;1 KG SPAGHETTI QS CRF CLASSIC;3747224;71,98027915;323;2351;1
3,27019E+12;1KG COUSCOUS MOYEN CRF;1040421;71,96713938;324;789;1
3,24541E+12;200G FROM FRAI LAI CHEVR CRF C;3525237;71,9579883;325;2110;1
3,26698E+12;200G PANE PLTX2 S/A LE GAULOIS;1366970;71,86869223;326;1016;1
3,27019E+12;250G PLQ BEURRE 1/2SEL CRF CLA;1039473;71,74986191;327;778;1
3,27019E+12;20CL CREME FRAICHE EPAI CRF CL;843388;71,73780121;328;638;1
3,56007E+12;1/2 PETIT POIS X FIN CRF CLASS;3615978;71,71642981;329;2159;1
3,22886E+12;825G AMS NATURE SSA;7864499;71,71264991;330;10220;1
3,45179E+12;3X20CL UHT FL ENT 30  E V;5140951;71,67763356;331;3971;1
8,00511E+12;560G PASSATA NATURE MUTTI;5839968;71,34065864;332;4869;1
3,56007E+12;40CL FLEURETTE 30  MG CRF CLA;4483409;71,29346494;333;3084;1
3,03222E+12;200G BURGER EMMENTAL/CHEDDAR;26203;71,13548666;334;107;1
