CDBase;TODAY;Stock_Date_J_Fin_Journee
7661533;03/06/2025;14,37
7798035;07/06/2025;14,39
4340804;10/06/2025;15
5531651;14/06/2025;15
5718578;06/06/2025;15
6135499;12/06/2025;15
7385999;04/06/2025;15
7718458;14/06/2025;15
7816758;12/06/2025;15
7891815;10/06/2025;15
1103766;02/06/2025;15,36
69200;15/06/2025;16
543613;12/06/2025;16
1671257;02/06/2025;16
3804612;11/06/2025;16
3856723;09/06/2025;16
4745837;11/06/2025;16
6692334;10/06/2025;16
7829325;09/06/2025;16
7994900;10/06/2025;16
5129686;02/06/2025;16,05
3618689;06/06/2025;16,07
3737454;05/06/2025;16,59
4757486;05/06/2025;16,67
3703460;08/06/2025;17
6589289;13/06/2025;17
7825063;03/06/2025;17
4435601;13/06/2025;17,24
251136;12/06/2025;18
2840550;11/06/2025;18
3760790;04/06/2025;18
3804612;15/06/2025;18
4801832;14/06/2025;18
5715092;10/06/2025;18
5924720;10/06/2025;18
6952930;12/06/2025;18
7145821;14/06/2025;18
7720353;14/06/2025;18
7836975;14/06/2025;18
7929261;07/06/2025;18
6481460;06/06/2025;18,02
2313134;07/06/2025;18,56
6134529;02/06/2025;18,58
4737145;07/06/2025;19
7920465;10/06/2025;19
4346484;02/06/2025;19,17
4185354;09/06/2025;20
4745754;06/06/2025;20
6022537;04/06/2025;20
7638898;11/06/2025;20
7935394;07/06/2025;20
748180;02/06/2025;20,38
7297303;10/06/2025;20,94
694991;08/06/2025;21
2694066;10/06/2025;21
6692340;10/06/2025;21
299117;03/06/2025;21,2
6078844;06/06/2025;21,86
2824024;08/06/2025;22
4164963;15/06/2025;22
7209151;15/06/2025;22
748180;03/06/2025;22,86
4827888;06/06/2025;23
6160811;10/06/2025;23
6950929;14/06/2025;23
7688359;07/06/2025;23
7855880;08/06/2025;23
4087566;02/06/2025;23,47
7302160;03/06/2025;23,97
91987;07/06/2025;24
91987;11/06/2025;24
91989;11/06/2025;24
1650458;04/06/2025;24
2711146;08/06/2025;24
5864796;14/06/2025;24
6973670;12/06/2025;24
6974140;04/06/2025;24
4232059;03/06/2025;24,03
5870463;13/06/2025;25
6167745;14/06/2025;25
6779826;11/06/2025;25
6779827;11/06/2025;25
1189765;12/06/2025;26
4312368;03/06/2025;26,76
3760790;02/06/2025;27
5133483;07/06/2025;27
5679185;15/06/2025;27
6262770;03/06/2025;27
6721794;02/06/2025;27
6163704;13/06/2025;28
7994919;04/06/2025;28
5135906;03/06/2025;29
6710296;14/06/2025;29
4087556;02/06/2025;29,3
4087556;03/06/2025;29,65
91987;12/06/2025;30
2965660;14/06/2025;30
6467432;14/06/2025;30
7935413;07/06/2025;30
8011186;14/06/2025;30,28
4196867;05/06/2025;31
4999557;05/06/2025;31,97
6975224;13/06/2025;32
7847085;14/06/2025;33
6476252;15/06/2025;34
6821143;15/06/2025;34
4185354;04/06/2025;35
4643174;13/06/2025;35
7989761;04/06/2025;35
91989;13/06/2025;36
3760790;07/06/2025;36
4158836;11/06/2025;36
6022537;02/06/2025;36
7278348;14/06/2025;36
7991985;09/06/2025;36
7398602;02/06/2025;36,64
5496936;14/06/2025;37
6385605;12/06/2025;37
7582904;02/06/2025;37,13
5446474;11/06/2025;38
2312176;07/06/2025;38,48
7998569;07/06/2025;38,89
3750137;11/06/2025;39
6131945;10/06/2025;39
6721798;04/06/2025;40
7809080;14/06/2025;40
7300341;02/06/2025;41,24
5474194;08/06/2025;42
7967293;10/06/2025;42
7185573;02/06/2025;43
6703456;13/06/2025;44
5952759;05/06/2025;45,57
1103769;06/06/2025;46,17
4962961;11/06/2025;47
7998569;04/06/2025;47,04
6713043;12/06/2025;48
6721821;13/06/2025;48
7219751;06/06/2025;48
4087566;03/06/2025;48,49
1103769;05/06/2025;48,98
7998556;06/06/2025;50,05
6947487;02/06/2025;51
6721794;04/06/2025;53
7935413;02/06/2025;53
1040106;02/06/2025;54
6237927;12/06/2025;54
7846459;12/06/2025;54
5133468;03/06/2025;56
6452894;04/06/2025;57
7319712;11/06/2025;63
7365481;13/06/2025;64
6031363;14/06/2025;65
5554687;14/06/2025;66
7429659;05/06/2025;66
5137606;11/06/2025;67
5133488;04/06/2025;69
5133494;07/06/2025;72
6476251;14/06/2025;75
5951983;09/06/2025;76,6
7994915;08/06/2025;76,81
5133494;04/06/2025;77
7989655;08/06/2025;77
7623014;02/06/2025;78,58
2801350;02/06/2025;79
299117;09/06/2025;82,01
5133482;07/06/2025;83
3391980;09/06/2025;89,65
4344359;02/06/2025;91
1114755;02/06/2025;92,97
7996526;06/06/2025;93
7687281;10/06/2025;100
4087565;02/06/2025;100,36
4064645;02/06/2025;106
7132967;02/06/2025;108
7905750;04/06/2025;108
8012319;02/06/2025;109,22
7905752;03/06/2025;111
2801362;02/06/2025;114
7994919;07/06/2025;114
4021921;02/06/2025;119
7936775;03/06/2025;123
7219846;07/06/2025;129
7754642;03/06/2025;142,77
4321574;13/06/2025;148
4856336;04/06/2025;153
5952762;05/06/2025;153,61
7132966;02/06/2025;154
843391;05/06/2025;155,26
7130984;02/06/2025;159
7905767;05/06/2025;194
7996526;10/06/2025;252
7996526;15/06/2025;350
