N° Rayon;Libellé Rayon;N° Groupe de familles;Libellé Groupe de famille;N° Famille;Libellé Famille;Facteur;A supprimer le
14;EPICERIE;146;CONSERVES ET PLATS CUISINES;1466;PLATS CUISINES;1;
14;EPICERIE;146;CONSERVES ET PLATS CUISINES;1467;PRODUITS DU MONDE;1;
14;EPICERIE;147;CONDIMENTS ET ASSAISONNEMENT;1471;SAUCES FROIDES;1;
14;EPICERIE;147;CONDIMENTS ET ASSAISONNEMENT;1470;CONDIMENTS;1;
14;EPICERIE;147;CONDIMENTS ET ASSAISONNEMENT;1472;SAUCES CHAUDES;1;
14;EPICERIE;147;CONDIMENTS ET ASSAISONNEMENT;1473;HUILES ET VINAIGRES;1;
14;EPICERIE;147;CONDIMENTS ET ASSAISONNEMENT;1474;SELS ET EPICES;1;
14;EPICERIE;147;CONDIMENTS ET ASSAISONNEMENT;1475;BOUILLON,AIDE CULINAIRE;1;
14;EPICERIE;148;PRODUITS POUR APERITIFS;1480;GRAINES ET MELANGES;1;
14;EPICERIE;148;PRODUITS POUR APERITIFS;1481;BISCUITS SALES;1;
14;EPICERIE;148;PRODUITS POUR APERITIFS;1484;CHIPS;1;
14;EPICERIE;148;PRODUITS POUR APERITIFS;1482;SOUFFLES-EXTRUDES;1;
14;EPICERIE;148;PRODUITS POUR APERITIFS;1483;AUTRES PRODUITS APERITIFS;1;
14;EPICERIE;149;ALIMENTS POUR ANIMAUX;1490;ALIMENTS POUR CHIENS;1;
14;EPICERIE;149;ALIMENTS POUR ANIMAUX;1491;ALIMENTS POUR CHATS;1;
14;EPICERIE;149;ALIMENTS POUR ANIMAUX;1492;RONGEUR;1;
14;EPICERIE;149;ALIMENTS POUR ANIMAUX;1493;OISEAUX;1;
14;EPICERIE;149;ALIMENTS POUR ANIMAUX;1494;BASSE COUR;1;
14;EPICERIE;149;ALIMENTS POUR ANIMAUX;1495;POISSONS;1;
14;EPICERIE;149;ALIMENTS POUR ANIMAUX;1496;NOUVEAUX ANIMEAUX DE COMPAGNIE;1;
14;EPICERIE;149;ALIMENTS POUR ANIMAUX;1499;REMBOURSEMENTS EPICERIE;1;
19;PARAPHARMACIE;190;SOINS;1900;TOILETTE DU VISAGE;1;
19;PARAPHARMACIE;190;SOINS;1901;SOINS DU VISAGE;1;
19;PARAPHARMACIE;190;SOINS;1902;SPECIFIQUES VISAGE;1;
19;PARAPHARMACIE;190;SOINS;1903;SOINS DU CORPS;1;
19;PARAPHARMACIE;190;SOINS;1904;SPECIFIQUES CORPS;1;
19;PARAPHARMACIE;190;SOINS;1905;SOLAIRES;1;
19;PARAPHARMACIE;191;HYGIENE;1910;TOILETTE;1;
19;PARAPHARMACIE;191;HYGIENE;1911;HYGIENE BUCCO-DENTAIRE;1;
19;PARAPHARMACIE;191;HYGIENE;1912;HYGIENE DES PIEDS;1;
19;PARAPHARMACIE;191;HYGIENE;1913;PREMIERS SOINS;1;
19;PARAPHARMACIE;191;HYGIENE;1914;HYGIENE FEMININE;1;
19;PARAPHARMACIE;191;HYGIENE;1915;DIVERS;1;
19;PARAPHARMACIE;192;CAPILLAIRE;1920;SHAMPOINGS;1;
19;PARAPHARMACIE;192;CAPILLAIRE;1921;SOINS CAPILLAIRES;1;
19;PARAPHARMACIE;192;CAPILLAIRE;1922;COLORATION;1;
19;PARAPHARMACIE;193;BEBE;1930;TOILETTE DU BEBE;1;
19;PARAPHARMACIE;193;BEBE;1931;ALIMENTATION INFANTILE;1;
19;PARAPHARMACIE;193;BEBE;1932;ACCESSOIRES BEBE;1;
19;PARAPHARMACIE;194;DIETETIQUE;1940;ALIMENTATION DIETETIQUE;1;
19;PARAPHARMACIE;194;DIETETIQUE;1941;PHYTOTHERAPIE;1;
19;PARAPHARMACIE;194;DIETETIQUE;1942;COMPLEMENTS ALIMENTAIRE;1;
19;PARAPHARMACIE;195;HOMME ET PARFUMS;1950;SOINS DE L'HOMME;1;
19;PARAPHARMACIE;195;HOMME ET PARFUMS;1951;PARFUMS;1;
19;PARAPHARMACIE;195;HOMME ET PARFUMS;1952;PRODUITS PARFUMANTS;1;
19;PARAPHARMACIE;196;MAQUILLAGE;1960;MAQUILLAGE DU TEINT;1;
19;PARAPHARMACIE;196;MAQUILLAGE;1961;MAQUILLAGE DES YEUX;1;
19;PARAPHARMACIE;196;MAQUILLAGE;1962;MAQUILLAGE DES LEVRES;1;
19;PARAPHARMACIE;196;MAQUILLAGE;1963;MAQUILLAGE DES ONGLES;1;
19;PARAPHARMACIE;196;MAQUILLAGE;1964;DIVERS MAQUILLAGE;1;
19;PARAPHARMACIE;199;GESTION PARAPHARMACIE;1990;DIVERS;1;
19;PARAPHARMACIE;199;GESTION PARAPHARMACIE;1999;REMBOURSEMENT PARAPHARMACIE;1;
20;CHARCUT.TRAITEUR;200;CHARCUTERIE COUPE;2000;JAMBON CUIT;1;
20;CHARCUT.TRAITEUR;200;CHARCUTERIE COUPE;2001;SALAISON,SAUCISSON CUITS;1;
20;CHARCUT.TRAITEUR;200;CHARCUTERIE COUPE;2002;VIANDE,JAMBON: SECS, CRUS;1;
20;CHARCUT.TRAITEUR;200;CHARCUTERIE COUPE;2003;PATES;1;
20;CHARCUT.TRAITEUR;200;CHARCUTERIE COUPE;2004;CHARCUTERIE A CUIRE;1;
20;CHARCUT.TRAITEUR;200;CHARCUTERIE COUPE;2005;SALAISONS;1;
20;CHARCUT.TRAITEUR;201;CHARCUTERIE L.S COUPE;2011;CHARCUTERIE LS INDUSTRIEL;1;
20;CHARCUT.TRAITEUR;201;CHARCUTERIE L.S COUPE;2010;CHARCUTERIE EMBAL PROGRE.;1;
20;CHARCUT.TRAITEUR;202;TRAITEUR COUPE;2020;APERITIF, LEGUMES MARINES;1;
20;CHARCUT.TRAITEUR;202;TRAITEUR COUPE;2021;SALADES;1;
20;CHARCUT.TRAITEUR;202;TRAITEUR COUPE;2022;ENTREES FROIDES;1;
20;CHARCUT.TRAITEUR;202;TRAITEUR COUPE;2023;ENTREES CHAUDES;1;
20;CHARCUT.TRAITEUR;202;TRAITEUR COUPE;2024;CUISINES DU MONDE;1;
20;CHARCUT.TRAITEUR;202;TRAITEUR COUPE;2025;PLATS CUISINES;1;
20;CHARCUT.TRAITEUR;202;TRAITEUR COUPE;2026;PATES FRAICHES ET SAUCES;1;
20;CHARCUT.TRAITEUR;202;TRAITEUR COUPE;2027;PRODUITS FESTIFS;1;
20;CHARCUT.TRAITEUR;203;TRAITEUR L.S COUPE;2035;ENTREES CHAUDES LS INDUS.;1;
20;CHARCUT.TRAITEUR;203;TRAITEUR L.S COUPE;2039;PATES FRAICHES ET SAUCES;1;
20;CHARCUT.TRAITEUR;203;TRAITEUR L.S COUPE;2030;TRAITEUR LS EMBAL PROGRESSIF;1;
20;CHARCUT.TRAITEUR;203;TRAITEUR L.S COUPE;2031;POINT RESTAURATION;1;
20;CHARCUT.TRAITEUR;203;TRAITEUR L.S COUPE;2032;APERIT.LEGUM MARI LS IND.;1;
20;CHARCUT.TRAITEUR;203;TRAITEUR L.S COUPE;2033;SALADES LS INDUSTRIELLE;1;
20;CHARCUT.TRAITEUR;203;TRAITEUR L.S COUPE;2034;ENTREES FROIDES LS INDUS.;1;
20;CHARCUT.TRAITEUR;203;TRAITEUR L.S COUPE;2036;QUICH.TART.TOURT.PIZZA LS;1;
20;CHARCUT.TRAITEUR;203;TRAITEUR L.S COUPE;2037;CUISINES DU MONDE;1;
20;CHARCUT.TRAITEUR;203;TRAITEUR L.S COUPE;2038;PLATS CUISINES;1;
20;CHARCUT.TRAITEUR;204;TRAITEUR CUIT SUR PLACE;2040;ROTISSERIE CUIT SUR PLACE;1;
20;CHARCUT.TRAITEUR;204;TRAITEUR CUIT SUR PLACE;2041;PIZZA ET QUICHE;1;
20;CHARCUT.TRAITEUR;204;TRAITEUR CUIT SUR PLACE;2042;CUISINE ASSEMBLAGE POELON;1;
20;CHARCUT.TRAITEUR;205;FROMAGE A LA COUPE;2050;PATES MOLLES;1;
20;CHARCUT.TRAITEUR;205;FROMAGE A LA COUPE;2051;PATES PERSILLEES;1;
20;CHARCUT.TRAITEUR;205;FROMAGE A LA COUPE;2052;CHEVRES/BREBIS;1;
20;CHARCUT.TRAITEUR;205;FROMAGE A LA COUPE;2053;P.FRAICHE,FONDU ET ALLEGE;1;
20;CHARCUT.TRAITEUR;205;FROMAGE A LA COUPE;2054;PATES PRESSES CUITES;1;
20;CHARCUT.TRAITEUR;205;FROMAGE A LA COUPE;2055;PATES PRESSES NON CUITES;1;
20;CHARCUT.TRAITEUR;205;FROMAGE A LA COUPE;2056;FROMAGE BIOLOGIQUE;1;
20;CHARCUT.TRAITEUR;205;FROMAGE A LA COUPE;2057;FROMAGE TYPIQUE REGIONAUX;1;
20;CHARCUT.TRAITEUR;205;FROMAGE A LA COUPE;2058;CREMERIE ET OEUF VRAC;1;
20;CHARCUT.TRAITEUR;205;FROMAGE A LA COUPE;2059;FROMAGE EMBAL.PROGRESSIF;1;
20;CHARCUT.TRAITEUR;206;STAND ANIMATION;2060;STAND ANIM CHARC-TRAITEUR;1;
20;CHARCUT.TRAITEUR;206;STAND ANIMATION;2061;STAND ANIMATION FROMAGE;1;
20;CHARCUT.TRAITEUR;209;GESTION DU RAYON CHARCUTERIE;2090;COMMANDE CLIENTS CHARCUT.;1;
20;CHARCUT.TRAITEUR;209;GESTION DU RAYON CHARCUTERIE;2091;COMMANDE CLIENTS FROMAGE;1;
20;CHARCUT.TRAITEUR;209;GESTION DU RAYON CHARCUTERIE;2092;ECONOMAT CHARCUTERIE;1;
20;CHARCUT.TRAITEUR;209;GESTION DU RAYON CHARCUTERIE;2093;ECONOMAT FROMAGE;1;
20;CHARCUT.TRAITEUR;209;GESTION DU RAYON CHARCUTERIE;2099;REMBOURSEMENT CHARC/FROMAGE;1;
21;POISSONNERIE;210;POISSON LIBRE SERVICE;2100;PETITS POISSONS L SERVICE;1;
21;POISSONNERIE;210;POISSON LIBRE SERVICE;2101;GROS POISSON L SERVICE;1;
21;POISSONNERIE;210;POISSON LIBRE SERVICE;2102;POISSON PLAT L SERVICE;1;
21;POISSONNERIE;210;POISSON LIBRE SERVICE;2103;POISSON D'EAU DOUCE L.S.;1;
21;POISSONNERIE;210;POISSON LIBRE SERVICE;2104;FILET DE POISSON L.S.;1;
21;POISSONNERIE;210;POISSON LIBRE SERVICE;2105;POISSON TRANSFORME L.S.;1;
21;POISSONNERIE;211;POISSON STAND;2110;PETIT POISSON STAND;1;
21;POISSONNERIE;211;POISSON STAND;2111;GROS POISSON STAND;1;
21;POISSONNERIE;211;POISSON STAND;2112;POISSON PLAT STAND;1;
21;POISSONNERIE;211;POISSON STAND;2113;POISSON D'EAU DOUCE STAND;1;
21;POISSONNERIE;211;POISSON STAND;2114;FILET DE POISSON STAND;1;
21;POISSONNERIE;211;POISSON STAND;2115;POISSON TRANSFORME STAND;1;
